Table S1. Data for the genome collection employed in this work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,Length,GC.content,Present.Markers,Completeness,Redundancy,Weighted.completeness,Weighted.redundancy,Contigs,N50,L50,N90,L90,CDs,
GCF_000688515.1,PRJNA224116,SAMN02743903,JHZK00000000.1,representative genome,1120956,209897,Afifella pfennigii DSM 17143,strain=DSM 17143,,latest,Scaffold,Major,Full,2014-04-08,ASM68851v1,DOE Joint Genome Institute,GCA_000688515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/688/515/GCF_000688515.1_ASM68851v1,,assembly from type material,3872586,66.6,105,1,1.0095,1,1.0001,60,102055,10,28970,34,3738,
GCF_000696095.1,PRJNA224116,SAMD00016801,BAYX00000000.1,na,1220581,359,Agrobacterium rhizogenes NBRC 13257,strain=NBRC 13257,,latest,Contig,Major,Full,2014-05-17,ASM69609v1,National Institute of Technology and Evaluation,GCA_000696095.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/095/GCF_000696095.1_ASM69609v1,,assembly from type material,7044473,59.91,105,1,1.0476,1,1.0582,53,475718,7,107464,19,6599,
GCF_000697965.2,PRJNA224116,SAMN02781308,,representative genome,106592,106592,Ensifer adhaerens,strain=Casida A,,latest,Complete Genome,Major,Full,2016-06-16,ASM69796v2,University of Arizona,GCA_000697965.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/697/965/GCF_000697965.2_ASM69796v2,,assembly from type material,7267502,62.32,104,0.9905,1.0288,0.9998,1.0396,3,4071185,1,1459374,3,6840,
GCF_000705355.1,PRJNA224116,SAMN02743500,JMQK00000000.1,representative genome,1496690,1496690,Rhizobium marinum,strain=MGL06,,latest,Contig,Major,Full,2014-06-12,SOAPdenovo for version 1.05 of Rhizobium marinus MGL06,85303,GCA_000705355.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/705/355/GCF_000705355.1_SOAPdenovo_for_version_1.05_of_Rhizobium_marinus_MGL06,,assembly from type material,5061979,63.03,105,1,1.019,1,1.0432,87,182654,8,53691,28,4933,
GCF_000706625.1,PRJNA224116,SAMN00778953,AHPL00000000.1,representative genome,1134510,92181,Bartonella koehlerae C-29,strain=C-29,,latest,Scaffold,Major,Full,2014-06-17,Bart_koeh_C29_V1,Broad Institute,GCA_000706625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/625/GCF_000706625.1_Bart_koeh_C29_V1,,assembly from type material,1747106,37.43,104,0.9905,1,0.9814,1,3,1737518,1,1737518,1,1460,
GCF_000706645.1,PRJNA224116,SAMN00778952,AHPK00000000.1,representative genome,685782,395923,Bartonella rochalimae ATCC BAA-1498,strain=ATCC BAA-1498,,latest,Scaffold,Major,Full,2014-06-17,Bart_roch_BMGH_V1,Broad Institute,GCA_000706645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/645/GCF_000706645.1_Bart_roch_BMGH_V1,,assembly from type material,1534143,35.05,104,0.9905,1,0.9814,1,3,1097474,1,411078,2,1298,
GCF_000712255.1,PRJNA224116,SAMN02427357,AZBJ00000000.2,na,520456,29460,Brucella neotomae 5K33,strain=5K33,,latest,Contig,Major,Full,2014-07-15,Bneotomae2.0,Smi,GCA_000712255.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/712/255/GCF_000712255.1_Bneotomae2.0,,assembly from type material,3289681,57.23,104,0.9905,1.0288,0.9998,1.0404,177,34109,30,10700,96,3357,
GCF_000722615.1,PRJNA224116,SAMN02864219,JOKI00000000.1,representative genome,1509405,1509405,Pseudorhizobium pelagicum,strain=R1-200B4,,latest,Contig,Major,Full,2014-07-07,ASM72261v1,University Miguel Hernandez,GCA_000722615.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/722/615/GCF_000722615.1_ASM72261v1,,assembly from type material,5134606,62.81,105,1,1.0381,1,1.0922,62,184300,11,39949,33,4968,
GCF_000731315.1,PRJNA224116,SAMEA3139073,,representative genome,1028800,399,Neorhizobium galegae bv. orientalis str. HAMBI 540,strain=HAMBI 540,,latest,Complete Genome,Major,Full,2014-06-25,RG540_Ch_pA,UH,GCA_000731315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/731/315/GCF_000731315.1_RG540_Ch_pA,,assembly from type material,6455027,61.23,102,0.9714,1.0196,0.972,1.0229,2,4647962,1,1807065,2,6172,
GCF_000732195.1,PRJNA224116,SAMN02840656,JNNU00000000.1,representative genome,690585,690585,Rhizobium vignae,strain=CCBAU 05176,,latest,Contig,Major,Full,2014-07-21,ASM73219v1,85303,GCA_000732195.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/195/GCF_000732195.1_ASM73219v1,,assembly from type material,6343049,61.62,104,0.9905,1.0192,0.9998,1.0324,84,328448,7,69534,23,6102,
GCF_000739695.1,PRJNA224116,SAMD00017759,BBIO00000000.1,representative genome,1333998,1333998,Tepidicaulis marinus,strain=MA2,,latest,Contig,Major,Full,2014-07-15,ASM73969v1,National Institute of Advanced Industrial Science and Technology. Japan,GCA_000739695.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/695/GCF_000739695.1_ASM73969v1,,assembly from type material,3475736,61.1,104,0.9905,1,0.9814,1,46,167542,7,56410,20,3372,
GCF_000739935.1,PRJNA224116,SAMD00016892,BBJU00000000.1,representative genome,1368415,28099,Agrobacterium rubi TR3 = NBRC 13261,strain=NBRC 13261,,latest,Contig,Major,Full,2014-08-02,ASM73993v1,National Institute of Technology and Evaluation,GCA_000739935.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/935/GCF_000739935.1_ASM73993v1,,assembly from type material,5293384,57.29,103,0.981,1,0.9813,1,56,178389,10,60264,27,5000,
GCF_000740335.1,PRJNA224116,SAMN02795942,,na,36855,36855,Brucella canis,strain=RM6/66,,latest,Complete Genome,Major,Full,2014-08-15,ASM74033v1,Los Alamos National Laboratory,GCA_000740335.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/335/GCF_000740335.1_ASM74033v1,,assembly from type material,3312751,57.24,105,1,1.0095,1,1.0121,2,2105950,1,1206801,2,3114,
GCF_000740415.1,PRJNA224116,SAMN02795970,,na,224914,29459,Brucella melitensis bv. 1 str. 16M,strain=16M,,latest,Complete Genome,Major,Full,2014-08-15,ASM74041v1,Los Alamos National Laboratory,GCA_000740415.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/415/GCF_000740415.1_ASM74041v1,,assembly from type material,3294775,57.22,105,1,1.0095,1,1.0121,2,2116984,1,1177791,2,3140,
GCF_000742005.1,PRJNA224116,SAMN02777545,JMUC00000000.1,na,204722,29461,Brucella suis 1330,strain=1330,,latest,Scaffold,Major,Full,2014-08-19,ASM74200v1,Los Alamos National Laboratory,GCA_000742005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/742/005/GCF_000742005.1_ASM74200v1,,assembly from type material,3296001,57.25,105,1,1.0095,1,1.0121,2,2099556,1,1196445,2,3105,
GCF_000742255.1,PRJNA224116,SAMN02768006,JMSC00000000.1,representative genome,520456,29460,Brucella neotomae 5K33,strain=5K33,,latest,Scaffold,Major,Full,2014-08-19,ASM74225v1,Los Alamos National Laboratory,GCA_000742255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/742/255/GCF_000742255.1_ASM74225v1,,assembly from type material,3329464,57.22,105,1,1.0095,1,1.0121,1,3329464,1,3329464,1,3196,
GCF_000743575.1,PRJNA224116,SAMN02983206,JQGC00000000.1,representative genome,46914,46914,Devosia riboflavina,strain=IFO13584,,latest,Contig,Major,Full,2014-08-25,ASM74357v1,Agriculture and Agri-Food Canada,GCA_000743575.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/575/GCF_000743575.1_ASM74357v1,,assembly from type material,5052234,61.83,104,0.9905,1.0192,0.9814,1.017,113,209083,8,66269,24,5001,
GCF_000745425.1,PRJNA224116,SAMN02910383,JQJH00000000.1,representative genome,231434,231434,Beijerinckia mobilis,strain=UQM 1969,,latest,Scaffold,Major,Full,2014-08-28,ASM74542v1,DOE Joint Genome Institute,GCA_000745425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/745/425/GCF_000745425.1_ASM74542v1,,assembly from type material,4320537,57.21,105,1,1,1,1,57,193954,7,39782,25,3835,
GCF_000746085.1,PRJNA224116,SAMN02746022,JQKO00000000.1,representative genome,663610,663610,Methylocapsa aurea,strain=KYG,,latest,Scaffold,Major,Full,2014-08-28,ASM74608v1,DOE Joint Genome Institute,GCA_000746085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/085/GCF_000746085.1_ASM74608v1,,assembly from type material,3971247,61.33,105,1,1.0095,1,1.022,34,227045,6,63783,18,3580,
GCF_000757795.1,PRJNA224116,SAMN03075686,,representative genome,693986,334852,Methylobacterium oryzae CBMB20,strain=CBMB20,,latest,Complete Genome,Major,Full,2014-09-25,ASM75779v1,KRIBB,GCA_000757795.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/795/GCF_000757795.1_ASM75779v1,,assembly from type material,6286629,69.77,104,0.9905,1.0288,0.9745,1.0588,1,6286629,1,6286629,1,5806,
GCF_000828475.1,PRJNA224116,SAMD00019677,,representative genome,1384459,1384459,Methyloceanibacter caenitepidi,strain=Gela4,,latest,Complete Genome,Major,Full,2015-01-06,ASM82847v1,National Institute of Advanced Industrial Science and Technology. Japan,GCA_000828475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/475/GCF_000828475.1_ASM82847v1,,assembly from type material,3424964,62.84,103,0.981,1,0.956,1,1,3424964,1,3424964,1,3294,
GCF_000949865.1,PRJNA224116,SAMN03266536,JWJH00000000.1,representative genome,1368418,1035271,Rhizobium nepotum 39/7,strain=39/7,,latest,Contig,Major,Full,2015-03-10,ASM94986v1,University of Belgrade. Faculty of Agriculture,GCA_000949865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/949/865/GCF_000949865.1_ASM94986v1,,assembly from type material,5328872,59.12,105,1,1,1,1,79,219533,9,29240,29,5006,
GCF_000960975.1,PRJNA224116,SAMN03284753,,representative genome,1486262,1486262,Martelella endophytica,strain=YC6887,,latest,Complete Genome,Major,Full,2015-03-24,ASM96097v1,Gyeonsang National university,GCA_000960975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/960/975/GCF_000960975.1_ASM96097v1,,assembly from type material,4817335,62.14,103,0.981,1.0097,0.9813,1.0239,1,4817335,1,4817335,1,4459,
GCF_000969415.1,PRJNA224116,SAMN03383337,JZEX00000000.1,representative genome,443610,443610,Devosia geojensis,strain=BD-c194,,latest,Contig,Major,Full,2015-04-06,ASM96941v1,Agriculture and Agri-Food Canada,GCA_000969415.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/415/GCF_000969415.1_ASM96941v1,,assembly from type material,4465063,65.92,104,0.9905,1,0.9814,1,207,57874,22,15866,78,4337,
GCF_000969445.1,PRJNA224116,SAMN03383426,JZEY00000000.1,representative genome,429727,429727,Devosia chinhatensis,strain=IPL18,,latest,Contig,Major,Full,2015-04-06,ASM96944v1,Agriculture and Agri-Food Canada,GCA_000969445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/445/GCF_000969445.1_ASM96944v1,,assembly from type material,3497719,62.35,105,1,1.019,1,1.0001,98,2139066,1,1309546,2,3397,
GCF_000970435.1,PRJNA224116,SAMN03431279,LAJF00000000.1,representative genome,1121477,288995,Devosia limi DSM 17137,strain=DSM 17137,,latest,Contig,Major,Full,2015-04-07,ASM97043v1,Agriculture and Agri-Food Canada,GCA_000970435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/435/GCF_000970435.1_ASM97043v1,,assembly from type material,4474336,62.71,104,0.9905,1.0192,0.9814,1.0178,158,131891,12,35532,38,4320,
GCF_000970455.1,PRJNA224116,SAMN03431281,LAJG00000000.1,representative genome,361041,361041,Devosia soli,strain=GH2-10,,latest,Contig,Major,Full,2015-04-07,ASM97045v1,Agriculture and Agri-Food Canada,GCA_000970455.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/455/GCF_000970455.1_ASM97045v1,,assembly from type material,4136371,60.98,105,1,1.019,1,1.0172,48,378020,4,113675,10,4079,
GCF_000970465.2,PRJNA224116,SAMN03431276,LAJE00000000.2,representative genome,1116389,408174,Devosia insulae DS-56,strain=DS-56,,latest,Contig,Major,Full,2016-09-29,ASM97046v2,Agriculture and Agri-Food Canada,GCA_000970465.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/465/GCF_000970465.2_ASM97046v2,,assembly from type material,5750119,65.26,105,1,1.019,1,1.0139,410,23675,71,6506,245,5695,
GCF_000971275.1,PRJNA224116,SAMN03448634,LAPV00000000.1,representative genome,728005,728005,Devosia psychrophila,strain=Cr7-05,,latest,Contig,Major,Full,2015-04-09,ASM97127v1,Agriculture and Agri-Food Canada,GCA_000971275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/275/GCF_000971275.1_ASM97127v1,,assembly from type material,4519556,61.09,105,1,1.0095,1,1.021,239,70191,19,15074,70,4602,
GCF_000971295.1,PRJNA224116,SAMN03448481,LANJ00000000.1,representative genome,1293439,1293439,Devosia epidermidihirudinis,strain=E84,,latest,Contig,Major,Full,2015-04-09,ASM97129v1,Agriculture and Agri-Food Canada,GCA_000971295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/295/GCF_000971295.1_ASM97129v1,,assembly from type material,3859784,61.08,104,0.9905,1.0096,0.9814,1.0134,47,309791,4,120442,11,3757,
GCF_001006805.1,PRJNA224116,SAMEA3246152,CDSD00000000.1,representative genome,1033741,1033741,Microvirga massiliensis,strain=JC119,,latest,Scaffold,Major,Full,2015-05-01,Microvirga massiliensis JC119,URMITE,GCA_001006805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/006/805/GCF_001006805.1_Microvirga_massiliensis_JC119,,assembly from type material,9172134,61.35,105,1,1.0571,1,1.0623,50,423941,7,122945,19,8974,
GCF_001017175.1,PRJNA224116,SAMN03652542,LCYG00000000.1,representative genome,1225564,1225564,Microvirga vignae,strain=BR3299,,latest,Scaffold,Major,Full,2015-06-01,ASM101717v1,Embrapa Agrobiologia,GCA_001017175.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/017/175/GCF_001017175.1_ASM101717v1,,assembly from type material,6472445,61.05,105,1,1.0286,1,1.0465,165,99306,19,15544,83,6601,
GCF_001043885.1,PRJNA224116,SAMN03282444,JXOD00000000.1,representative genome,1295136,427683,Methylobacterium platani JCM 14648,strain=JCM 14648,,latest,Contig,Major,Full,2015-06-30,ASM104388v1,CSIR-Institute of Microbial Technology,GCA_001043885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/885/GCF_001043885.1_ASM104388v1,,assembly from type material,6851766,71.07,103,0.981,1.0291,0.9743,1.0512,554,23491,87,7494,277,6519,
GCF_001043895.1,PRJNA224116,SAMN03217758,JTHF00000000.1,representative genome,1775910,1775910,Methylobacterium indicum,strain=SE2.11,,latest,Contig,Major,Full,2015-06-30,ASM104389v1,CSIR-Institute of Microbial Technology,GCA_001043895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/895/GCF_001043895.1_ASM104389v1,,assembly from type material,6921653,70.41,101,0.9619,1.0099,0.928,1.024,506,28044,77,7378,253,6549,
GCF_001043915.1,PRJNA224116,SAMN03401149,LABX00000000.1,na,270351,270351,Methylobacterium aquaticum,strain=DSM 16371,,latest,Contig,Major,Full,2015-06-30,ASM104391v1,CSIR-Institute of Microbial Technology,GCA_001043915.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/915/GCF_001043915.1_ASM104391v1,,assembly from type material,7425331,69.88,101,0.9619,1.0495,0.9413,1.0559,512,32100,75,9510,237,6961,
GCF_001043955.1,PRJNA224116,SAMN03406606,LABZ00000000.1,representative genome,1187852,1187852,Methylobacterium tarhaniae,strain=DSM 25844,,latest,Contig,Major,Full,2015-06-30,ASM104395v1,CSIR-Institute of Microbial Technology,GCA_001043955.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/955/GCF_001043955.1_ASM104395v1,,assembly from type material,6743422,70.41,101,0.9619,1.0099,0.9649,1.0231,483,35164,61,9618,198,6348,
GCF_001043975.1,PRJNA224116,SAMN03406604,LABY00000000.1,representative genome,298794,298794,Methylobacterium variabile,strain=DSM 16961,,latest,Contig,Major,Full,2015-06-30,ASM104397v1,CSIR-Institute of Microbial Technology,GCA_001043975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/975/GCF_001043975.1_ASM104397v1,,assembly from type material,7433592,70.73,101,0.9619,1.0297,0.9597,1.0406,562,32726,71,8905,227,7204,
GCF_001050155.1,PRJNA224116,SAMN03768409,LFVY00000000.1,representative genome,1670619,1670619,Nitratireductor soli,strain=ZZ-1,,latest,Contig,Major,Full,2015-07-08,ASM105015v1,Zaozhuang University,GCA_001050155.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/050/155/GCF_001050155.1_ASM105015v1,,assembly from type material,5125657,64.1,103,0.981,1.0097,0.9732,1.0003,60,245950,8,88984,21,4918,
GCF_001050495.1,PRJNA224116,SAMEA3146248,CAHM00000000.1,na,1033741,1033741,Microvirga massiliensis,,JC119,latest,Contig,Major,Full,2013-10-09,ASM105049v1,URMITE CNRS UMR 6236 IRD 198,GCA_001050495.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/050/495/GCF_001050495.1_ASM105049v1,,assembly from type material,9043523,62.62,105,1,1.0571,1,1.0623,474,49785,55,9075,217,9123,
GCF_001187535.1,PRJNA224116,SAMN03779945,LFIO00000000.1,representative genome,1671795,1671795,Rhizobium ecuadorense,strain=CNPSO 671,,latest,Contig,Major,Full,2015-07-27,ASM118753v1,Embrapa Soja,GCA_001187535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/187/535/GCF_001187535.1_ASM118753v1,,assembly from type material,7383497,61.01,103,0.981,1.0583,0.9813,1.1221,1891,130817,16,13034,83,8290,
GCF_001189235.2,PRJNA224116,SAMN03782074,LFIP00000000.2,representative genome,630921,630921,Bradyrhizobium embrapense,strain=SEMIA 6208,,latest,Contig,Major,Full,2016-05-09,ASM118923v2,Embrapa Soja,GCA_001189235.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/235/GCF_001189235.2_ASM118923v2,,assembly from type material,8267832,63.98,104,0.9905,1.0577,0.9814,1.0992,36,809967,4,139684,12,7736,
GCF_001189245.1,PRJNA224116,SAMN03782120,LFIQ00000000.1,representative genome,280333,280333,Bradyrhizobium pachyrhizi,strain=PAC 48,,latest,Scaffold,Major,Full,2015-07-30,ASM118924v1,Embrapa Soja,GCA_001189245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/245/GCF_001189245.1_ASM118924v1,,assembly from type material,8711973,63.72,103,0.981,1.0388,0.9539,1.0555,124,202254,15,59385,45,8250,
GCF_001189845.1,PRJNA224116,SAMN03784761,LFLZ00000000.1,representative genome,312253,312253,Bradyrhizobium tropiciagri,strain=SEMIA 6148,,latest,Contig,Major,Full,2015-07-31,ASM118984v1,Embrapa Soja,GCA_001189845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/845/GCF_001189845.1_ASM118984v1,,assembly from type material,9767314,63.49,103,0.981,1.0777,0.9647,1.0956,189,111450,28,28427,94,9391,
GCF_001238275.1,PRJNA224116,SAMN03890369,LGTB00000000.1,representative genome,1654716,1654716,Bradyrhizobium viridifuturi,strain=SEMIA 690,,latest,Contig,Major,Full,2015-08-05,ASM123827v1,Embrapa Soja,GCA_001238275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/238/275/GCF_001238275.1_ASM123827v1,,assembly from type material,8811922,64.02,104,0.9905,1.0577,0.9814,1.0964,152,138766,22,50014,58,8844,
GCF_001281405.1,PRJNA224116,SAMN02803869,,representative genome,1318743,1318743,Bartonella ancashensis,strain=20.00,,latest,Complete Genome,Major,Full,2015-09-14,ASM128140v1,Walter Reed Army Institute of Research,GCA_001281405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/405/GCF_001281405.1_ASM128140v1,,assembly from type material,1467695,38.42,104,0.9905,1,0.9814,1,1,1467695,1,1467695,1,1255,
GCF_001305515.1,PRJNA224116,SAMN03703222,LJYW00000000.1,representative genome,665126,665126,Prosthecomicrobium hirschii,strain=16,,latest,Scaffold,Major,Full,2015-10-01,ASM130551v1,University of Missouri,GCA_001305515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/515/GCF_001305515.1_ASM130551v1,,assembly from type material,6484983,68.61,104,0.9905,1,0.9814,1,6,6323789,1,6323789,1,5765,
GCF_001402875.1,PRJNA224116,SAMN04123293,,representative genome,1079,1079,Blastochloris viridis,strain=ATCC 19567,,latest,Complete Genome,Major,Full,2015-10-22,ASM140287v1,Institute for Basic Science,GCA_001402875.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/402/875/GCF_001402875.1_ASM140287v1,,assembly from type material,3724841,67.93,104,0.9905,1,0.9814,1,1,3724841,1,3724841,1,3271,
GCF_001418005.1,PRJNA224116,SAMN03840667,LIOL00000000.1,representative genome,363953,363953,Chelatococcus sambhunathii,strain=DSM 18167,,latest,Scaffold,Major,Full,2015-10-28,ASM141800v1,Joint Genome Institute,GCA_001418005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/418/005/GCF_001418005.1_ASM141800v1,,assembly from type material,4373820,67.75,105,1,1.019,1,1.0242,35,426134,4,84745,13,4169,
GCF_001440035.1,PRJNA224116,SAMN04088902,LJYG00000000.1,representative genome,989370,989370,Bradyrhizobium manausense,strain=BR 3351,,latest,Scaffold,Major,Full,2015-11-06,ABySSBR3351v1,Embrapa Agrobiologia,GCA_001440035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/440/035/GCF_001440035.1_ABySSBR3351v1,,assembly from type material,9145311,62.78,103,0.981,1.0291,0.9763,1.0654,127,225542,13,47046,51,8735,
GCF_001440395.1,PRJNA224116,SAMN02689491,LLXZ00000000.1,representative genome,280332,280332,Bradyrhizobium jicamae,strain=PAC68,,latest,Scaffold,Major,Full,2015-11-06,ASM144039v1,UPM,GCA_001440395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/440/395/GCF_001440395.1_ASM144039v1,,assembly from type material,8738846,62.22,104,0.9905,1.0385,0.9814,1.0765,235,84855,32,22567,108,8497,
GCF_001440405.1,PRJNA224116,SAMN02688507,LLXX00000000.1,representative genome,1518501,1518501,Bradyrhizobium valentinum,strain=LmjM3,,latest,Scaffold,Major,Full,2015-11-06,ASM144040v1,UPM,GCA_001440405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/440/405/GCF_001440405.1_ASM144040v1,,assembly from type material,8845258,61.78,104,0.9905,1.0385,0.9814,1.0487,242,72962,36,20266,121,8740,
GCF_001440415.1,PRJNA224116,SAMN02689496,LLYA00000000.1,representative genome,1300035,1300035,Bradyrhizobium retamae,strain=Ro19,,latest,Contig,Major,Full,2015-11-06,ASM144041v1,UPM,GCA_001440415.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/440/415/GCF_001440415.1_ASM144041v1,,assembly from type material,8466225,61.86,103,0.981,1.0388,0.9813,1.0726,235,131222,17,18991,74,8344,
GCF_001440475.1,PRJNA224116,SAMN02689497,LLYB00000000.1,na,722472,722472,Bradyrhizobium lablabi,strain=CCBAU 23086,,latest,Scaffold,Major,Full,2015-11-06,ASM144047v1,UPM,GCA_001440475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/440/475/GCF_001440475.1_ASM144047v1,,assembly from type material,8817291,62.49,104,0.9905,1.0288,0.9814,1.033,135,160353,17,33805,67,8553,
GCF_001461695.1,PRJNA224116,SAMN04301590,AUTC00000000.1,na,1230631,380,Sinorhizobium fredii USDA 205,strain=USDA 205,,latest,Contig,Major,Full,2015-12-07,ASM146169v1,Huazhong Agricultural University,GCA_001461695.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/461/695/GCF_001461695.1_ASM146169v1,,assembly from type material,6579820,62.31,103,0.981,1.0194,0.9813,1.0191,209,102976,17,18039,75,6285,
GCF_001463825.1,PRJNA224116,SAMD00028746,BBWN00000000.1,na,182270,182270,Aurantimonas coralicida,strain=DSM 14790,,latest,Contig,Major,Full,2015-11-09,ASM146382v1,Graduate School of Life Sciences. Tohoku University,GCA_001463825.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/463/825/GCF_001463825.1_ASM146382v1,,assembly from type material,4603216,66.73,104,0.9905,1.0385,0.9814,1.052,93,181777,8,38492,28,4358,
GCF_001463845.1,PRJNA224116,SAMD00028750,BBWO00000000.1,na,217511,217511,Fulvimarina pelagi,strain=DSM 15513,,latest,Contig,Major,Full,2015-11-09,ASM146384v1,Graduate School of Life Sciences. Tohoku University,GCA_001463845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/463/845/GCF_001463845.1_ASM146384v1,,assembly from type material,3770082,61.25,103,0.981,1,0.9732,1,61,313774,5,106810,13,3522,
GCF_001463865.1,PRJNA224116,SAMD00028747,BBWP00000000.1,na,287752,651183,Aurantimonas manganoxydans SI85-9A1,strain=DSM 21871,,latest,Contig,Major,Full,2015-11-09,ASM146386v1,Graduate School of Life Sciences. Tohoku University,GCA_001463865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/463/865/GCF_001463865.1_ASM146386v1,,assembly from type material,4248252,66.79,104,0.9905,1.0288,0.9814,1.052,94,161406,9,29349,37,3969,
GCF_001463885.1,PRJNA224116,SAMD00028748,BBWQ00000000.1,representative genome,370622,370622,Aureimonas altamirensis,strain=DSM 21988,,latest,Contig,Major,Full,2015-11-09,ASM146388v1,Graduate School of Life Sciences. Tohoku University,GCA_001463885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/463/885/GCF_001463885.1_ASM146388v1,,assembly from type material,4187548,64.85,104,0.9905,1.0288,0.9814,1.052,32,305097,6,73064,15,3964,
